Reference,DOI,Species,Site,Season,Depth,Environment,Tissue,Condition,Mesh,Days,Remaining.mean,Remaining.sd,Remaining.sem,Rate.mean,Rate.sd,Repetitions,n,CN.mean,CN.sd,Phenols.mean,Phenols.sd,CNPhenols.t,CNPhenols.n,Source
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,13.91679715,51.02196128,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,14.00795133,63.98817871,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,14.05175269,55.93298448,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,20.87391325,54.92194536,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,21.01192699,45.98226806,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,21.04882273,36.94478464,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,27.78505765,37.99697562,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,27.78505765,37.99697562,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,28.00140085,25.91355009,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,36.95325459,27.84049991,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,36.98324471,17.82072729,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,37.08268564,31.96569175,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,41.95736273,25.36363726,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,41.97462678,27.81936026,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,41.98320948,14.75449112,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,48.97001974,22.87831875,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,48.98619863,10.89396773,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,49.05594539,20.81508864,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,55.97162777,18.82133752,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,55.99471227,7.819275699,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,56.04305161,14.69530009,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,62.94630387,10.93342841,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,62.95390005,12.01394653,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Gerard 1976,NA,Macrocystis pyrifera,Point Cabrillo,Winter,9,Benthic,Lamina,Fresh,5,63.01772771,6.807390986,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,Figure 19
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,4.8533335,67.37288,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,10.378667,67.58475,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,13.738667,45.974576,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,14.485333,25.42373,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,38.528,11.652543,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,45.621334,8.6864404,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Lamina,Fresh,1.5,52.64,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,0,100,NA,NA,NA,NA,1,1,14.3,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,4.6293335,96.18644,NA,NA,NA,NA,1,1,13.9,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,10.005333,98.51695,NA,NA,NA,NA,1,1,13.9,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,13.44,70.55085,NA,NA,NA,NA,1,1,12.6,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,15.008,62.711865,NA,NA,NA,NA,1,1,12.6,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,27.402666,36.228815,NA,NA,NA,NA,1,1,13.6,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,42.037334,17.584746,NA,NA,NA,NA,1,1,10.6,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Lamina,Fresh,1.5,55.328,0,NA,NA,NA,NA,1,1,10.4,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,4.742057,92.44622,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,10.408601,88.71835,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,12.598218,72.649515,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,15.450898,60.40434,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,43.463177,14.005432,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,0,Benthic,Stipe,Fresh,1.5,52.870846,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,0,100,NA,NA,NA,NA,1,1,29.5,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,4.7373037,94.98856,NA,NA,NA,NA,1,1,27.3,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,10.325817,93.16632,NA,NA,NA,NA,1,1,27.3,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,12.563361,91.29337,NA,NA,NA,NA,1,1,28.7,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,15.568143,77.35556,NA,NA,NA,NA,1,1,28.7,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,27.938604,32.838613,NA,NA,NA,NA,1,1,15.1,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,29.878681,30.749294,NA,NA,NA,NA,1,1,15.1,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,32.411713,30.152023,NA,NA,NA,NA,1,1,18.8,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,38.696564,14.357032,NA,NA,NA,NA,1,1,21.5,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Macrocystis pyrifera,Dixon Island,Autumn,10,Pelagic,Stipe,Fresh,1.5,55.476757,0,NA,NA,NA,NA,1,1,16.1,NA,NA,NA,Final,1,"Figure 2, Table 1"
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Lamina,Fresh,1.5,4.2918324,89.53653,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Lamina,Fresh,1.5,10.733134,34.02981,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Lamina,Fresh,1.5,36.609035,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Lamina,Fresh,1.5,4.3636947,91.68333,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Lamina,Fresh,1.5,7.4565845,74.980277,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Lamina,Fresh,1.5,36.525764,6.428643,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,10.454161,94.591904,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,14.141321,84.584117,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,26.007492,64.637244,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,28.263826,59.104335,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,30.003717,49.49503,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,0,Benthic,Pneumatocyst,Fresh,1.5,45.48779,16.541474,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,10.471375,85.38451,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,14.089276,72.377825,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,26.088762,61.212385,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,28.32668,25.486648,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,30.733143,19.741905,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
Albright et al. 1982,10.1515/9783110837988-015,Nereocystis lutkeana,Brockton Point,Autumn,10,Pelagic,Pneumatocyst,Fresh,1.5,35.10569,3.5347868,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 2
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Stipe,Dead,2,6.265985,30.913336,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6h
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Stipe,Dead,2,13.266185,6.538142,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6h
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Stipe,Dead,2,19.288675,1.0891211,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6h
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Lamina,Dead,2,2.1329145,53.963074,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6i
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Lamina,Dead,2,4.1267033,6.2956324,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6i
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Nereocystis lutkeana,Bath Island,Summer,6,Benthic,Lamina,Dead,2,6.1080623,0.93967205,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6i
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Saccharina latissima,Bath Island,Summer,6,Benthic,Lamina,Dead,2,3.1816223,31.268353,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6j
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Saccharina latissima,Bath Island,Summer,6,Benthic,Lamina,Dead,2,8.190916,14.841478,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6j
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Saccharina latissima,Bath Island,Summer,6,Benthic,Lamina,Dead,2,8.195768,12.165448,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6j
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Saccharina latissima,Bath Island,Summer,6,Benthic,Lamina,Dead,2,9.195313,11.152825,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6j
"Smith 1979, Smith and Foreman 1984",10.1007/BF00393005,Saccharina latissima,Bath Island,Summer,6,Benthic,Lamina,Dead,2,9.20391,12.655541,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Figure 6j
