ID,Species,Treatment,Tank,Deployment,Initial,Retrieval,Final,Dry,Initials,Notes
56,Amphibolis griffithii,Dead,2,03.02.25,7.53,07.04.25,6.33,0.76104,PA,
57,Amphibolis griffithii,Dead,2,03.02.25,6.91,13.02.25,6.73,1.19519,"TR, PA",
58,Amphibolis griffithii,Live,2,03.02.25,8.67,20.03.25,10.89,1.73677,PA,
59,Amphibolis griffithii,Live,2,03.02.25,8.01,06.03.25,7.31,1.42468,LSW,
60,Amphibolis griffithii,Live,2,03.02.25,7.05,13.02.25,7.04,1.40632,"TR, PA",
61,Amphibolis griffithii,Live,2,03.02.25,7.05,13.03.25,6.75,1.18116,LSW,
62,Amphibolis griffithii,Dead,2,03.02.25,9.33,10.04.25,8.23,1.04569,PA,
63,Amphibolis griffithii,Live,2,03.02.25,6.36,10.04.25,6.5,0.8561,PA,
64,Amphibolis griffithii,Dead,2,03.02.25,9.08,07.02.25,7.68,1.81453,LSW,
65,Amphibolis griffithii,Live,2,03.02.25,6.89,07.04.25,7.59,0.94228,PA,
66,Amphibolis griffithii,Dead,2,03.02.25,7.33,06.03.25,6.04,0.91353,LSW,
67,Amphibolis griffithii,Live,2,03.02.25,8.19,07.02.25,7.84,2.10955,LSW,
68,Amphibolis griffithii,Dead,2,03.02.25,7.7,13.03.25,7.68,0.94451,LSW,
69,Amphibolis griffithii,Dead,2,03.02.25,8.39,17.04.25,6.79,0.77215,PA,
70,Amphibolis griffithii,Live,2,03.02.25,7.63,17.04.25,7.31,0.95706,PA,
71,Amphibolis griffithii,Dead,2,03.02.25,8.05,27.03.25,8.69,1.07558,PA,
72,Amphibolis griffithii,Live,2,03.02.25,7.97,03.04.25,8.41,1.03498,PA,
73,Amphibolis griffithii,Live,2,03.02.25,8.83,27.03.25,8.88,1.23268,PA,
74,Amphibolis griffithii,Dead,2,03.02.25,7.45,27.02.25,6.84,1.16943,TR,
75,Amphibolis griffithii,Live,2,03.02.25,7.59,27.02.25,7.37,1.48067,TR ,
76,Amphibolis griffithii,Live,2,03.02.25,7.78,14.04.25,7.3,0.99492,PA,
77,Amphibolis griffithii,Dead,2,03.02.25,7.65,20.02.25,7.83,1.37382,TR ,
78,Amphibolis griffithii,Dead,2,03.02.25,7.12,03.04.25,7.25,0.82858,PA,
79,Amphibolis griffithii,Dead,2,03.02.25,7.51,14.04.25,7.25,0.76963,PA,
80,Amphibolis griffithii,Live,2,03.02.25,7.59,20.02.25,7.73,1.47461,TR,
81,Amphibolis griffithii,Dead,2,03.02.25,7.11,04.02.25,6.93,1.6963,LSW,
