ID,Species,Initial,Treatment,Deployment,Retrieval,Final,Dry
1761,Laminaria ochroleuca,5.35,Live,15.11.2024,NA,NA,NA
1762,Laminaria ochroleuca,4.657,Live,15.11.2024,NA,NA,NA
1763,Laminaria ochroleuca,5.958,Dead,15.11.2024,NA,NA,NA
1764,Laminaria ochroleuca,4.723,Dead,15.11.2024,NA,NA,NA
1765,Laminaria ochroleuca,5.029,Dead,15.11.2024,NA,NA,NA
1766,Laminaria ochroleuca,3.876,Dead,15.11.2024,NA,NA,NA
1767,Laminaria ochroleuca,4.268,Dead,15.11.2024,NA,NA,NA
1768,Laminaria ochroleuca,4.252,Dead,15.11.2024,NA,NA,NA
1769,Laminaria ochroleuca,2.936,Live,15.11.2024,NA,NA,NA
1770,Laminaria ochroleuca,2.99,Dead,15.11.2024,NA,NA,NA
1771,Laminaria ochroleuca,3.422,Dead,15.11.2024,18.11.2024,2.872,NA
1772,Laminaria ochroleuca,4.073,Dead,15.11.2024,NA,NA,NA
1773,Laminaria ochroleuca,2.966,Dead,15.11.2024,NA,NA,NA
1774,Laminaria ochroleuca,3.582,Live,15.11.2024,NA,NA,NA
1775,Laminaria ochroleuca,2.883,Dead,15.11.2024,NA,NA,NA
1776,Laminaria ochroleuca,3.598,Live,15.11.2024,18.11.2024,3.426,NA
1777,Laminaria ochroleuca,6.603,Live,15.11.2024,NA,NA,NA
1778,Laminaria ochroleuca,6.338,Live,15.11.2024,NA,NA,NA
1779,Laminaria ochroleuca,4.258,Live,15.11.2024,NA,NA,NA
1780,Laminaria ochroleuca,7.509,Dead,15.11.2024,NA,NA,NA
1781,Laminaria ochroleuca,5.464,Dead,15.11.2024,NA,NA,NA
1782,Laminaria ochroleuca,6.448,Dead,15.11.2024,NA,NA,NA
1783,Laminaria ochroleuca,4.648,Dead,15.11.2024,NA,NA,NA
1784,Laminaria ochroleuca,3.86,Dead,15.11.2024,NA,NA,NA
1785,Laminaria ochroleuca,3.031,Live,15.11.2024,NA,NA,NA
1786,Laminaria ochroleuca,3.681,Live,15.11.2024,NA,NA,NA
1787,Laminaria ochroleuca,3.965,Live,15.11.2024,NA,NA,NA
1788,Laminaria ochroleuca,5.862,Live,15.11.2024,NA,NA,NA
1789,Laminaria ochroleuca,5.068,Live,15.11.2024,NA,NA,NA
1790,Laminaria ochroleuca,6.69,Dead,15.11.2024,NA,NA,NA
1791,Laminaria ochroleuca,6.5,Live,15.11.2024,NA,NA,NA
1792,Laminaria ochroleuca,6.306,Live,15.11.2024,NA,NA,NA
1793,Laminaria ochroleuca,6.456,Live,15.11.2024,22.11.2024,5.904,NA
1794,Laminaria ochroleuca,6.752,Live,15.11.2024,NA,NA,NA
1795,Laminaria ochroleuca,6.21,Live,15.11.2024,NA,NA,NA
1796,Laminaria ochroleuca,6.217,Dead,15.11.2024,NA,NA,NA
1797,Laminaria ochroleuca,5.335,Dead,15.11.2024,NA,NA,NA
1798,Laminaria ochroleuca,4.408,Live,15.11.2024,NA,NA,NA
1799,Laminaria ochroleuca,4.615,Dead,15.11.2024,NA,NA,NA
