Data_sheet,Entry,Morphology_num,Genetics_Code,Date,Site,Depth_band,Depth_m,Lat_DD,Lon_DD,Quadrat,Bag_No,Quadrat_size,Species,Complete,New_blade_error,Old_blade_error,Stipe_length_cm,New_blade_length_cm,Old_blade_length_cm,X2nd_old_blade_length_cm,Total_blade_length_cm,New_blade_width_cm,Old_blade_width_cm,X2nd_old_blade_width,Blade_thickness_mm,Epiphyte_WW_g,Epiphyte_kelp_WW_g,Stipe_WW_g,Stipe_diameter_mm,Age,Epiphyte_percent_cover,Sporophyll_WW_g,New_blade_WW_g,Old_blade_WW_g,X2nd_old_blade_WW_g,Total_blade_WW_g,Holdfast_WW_g,Total_plant_WW_g,Notes,Reproductive,Location_Campaign,Total_plant_length_cm,Data_Sheet,Total_blade_width_cm,Sample,Stipe_diameter_distal_cm,Blade_thickness_mm_distal,epiphytes_.,Number_of_blades_or_digits,Length_1st_blade,Thallus_ww,Thallus_length,Blade_1_length_solidungula_cm,Num_blades_solidungula,Blade_thickness_distal_mm,Tattering_distal_cm,Blade_epiphyte_cm_distal,Epiphyte_notes,Epiphyte_percent_cover_on_stipe,Individuals,Notes_2,Site_Name,Length_cm_,Width_cm,Area_.5.sqr_,biomass_g_cor,Corrected_depth_m,Genus
1,NA,SB_05_2024_11,SB_05_2024_11,3/05/2024,Ny-Alesund Marina,5,4,78.928318,21.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,20.5,47,17.5,NA,64.5,32,9.5,NA,0.5,0,0,8.8,8,2,NA,NA,80.5,6.2,NA,86.7,5.3,100.8,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_12,SB_05_2024_12,3/05/2024,Ny-Alesund Marina,5,4,78.928318,22.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,3.5,52,10.5,NA,62.5,18,3.5,NA,0.6,0,0,0.5,3.4,2,NA,NA,37.5,1,NA,38.5,0.9,39.9,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_13,SB_05_2024_13,3/05/2024,Ny-Alesund Marina,5,4,78.928318,23.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,5.5,65.5,13.5,NA,79,17,2,NA,0.8,0,0,0.5,3.2,2,NA,NA,35.7,1.2,NA,36.9,0.6,38,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
1,NA,SB_05_2024_14,SB_05_2024_14,3/05/2024,Ny-Alesund Marina,5,4,78.928318,24.933708,NA,NA,NA,Saccharina latissima,NA,NA,NA,6,47.5,7.5,NA,55,14.5,2.5,NA,0.7,0,0,0.6,4.2,2,NA,NA,26.7,0.4,NA,27.1,0.4,28.1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_15,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Alaria esculenta,NA,NA,NA,1.5,25,NA,NA,25,5,NA,NA,0.1,0,0,0.1,1.8,1,NA,NA,4.3,NA,NA,4.3,0.2,4.6,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaria
2,NA,SB_05_2024_16,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Alaria esculenta,NA,NA,NA,0.5,14,NA,NA,14,3,NA,NA,0.1,0,0,NA,1.6,1,NA,NA,1.2,NA,NA,1.2,0.05,1.25,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaria
2,NA,SB_05_2024_17,SB_05_2024_17,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,13,NA,NA,13,4,NA,NA,0.1,0,0,0.05,0.9,1,NA,NA,1,NA,NA,1,0.05,1.1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_18,SB_05_2024_18,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,1,18.5,NA,NA,18.5,5.5,NA,NA,0.12,0,0,0.05,1.2,1,NA,NA,1.8,NA,NA,1.8,0.14,1.99,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_19,SB_05_2024_19,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,1.5,28.5,NA,NA,28.5,6.5,NA,NA,0.4,0,0,0.05,1.4,2,NA,NA,4.1,NA,NA,4.1,0.11,4.26,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_20,SB_05_2024_20,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,17,NA,NA,17,3.5,NA,NA,0.4,0,0,0.05,1.3,1,NA,NA,0.9,NA,NA,0.9,0.05,1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_21,SB_05_2024_21,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,14,NA,NA,14,4.5,NA,NA,0.14,0,0,0.05,0.7,1,NA,NA,1,NA,NA,1,0.05,1.1,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_22,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.4,11.5,NA,NA,11.5,3,NA,NA,0.3,0,0,0.05,0.7,1,NA,NA,0.5,NA,NA,0.5,0.05,0.6,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_23,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.6,10,NA,NA,10,3.5,NA,NA,0.2,0,0,0.05,0.5,1,NA,NA,0.5,NA,NA,0.5,0.05,0.6,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_24,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,6.5,NA,NA,6.5,2,NA,NA,0.1,0,0,0.05,0.3,1,NA,NA,0.2,NA,NA,0.2,0.05,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_25,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.4,8.4,NA,NA,8.4,3.8,NA,NA,0.1,0,0,0.05,0.5,1,NA,NA,0.4,NA,NA,0.4,0.05,0.5,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_26,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,7,NA,NA,7,1.5,NA,NA,0.1,0,0,0.05,0.3,1,NA,NA,0.1,NA,NA,0.1,0.05,0.2,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_27,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.4,6.8,NA,NA,6.8,1.5,NA,NA,0.1,0,0,0.05,0.3,1,NA,NA,0.1,NA,NA,0.1,0.05,0.2,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_28,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.5,9,NA,NA,9,2.3,NA,NA,0.1,0,0,0.05,0.4,1,NA,NA,0.3,NA,NA,0.3,0.05,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_29,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Saccharina latissima,NA,NA,NA,0.6,9.5,NA,NA,9.5,2,NA,NA,0.1,0,0,0.05,0.4,1,NA,NA,0.3,NA,NA,0.3,0.05,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
2,NA,SB_05_2024_30,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Alaria esculenta,NA,NA,NA,0.3,6,NA,NA,6,1.8,NA,NA,0.05,0,0,0.05,0.3,1,NA,NA,0.1,NA,NA,0.1,0.05,0.2,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaria
2,NA,SB_05_2024_31,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Desmarestia aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Understory biomass (not epiphytes),Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmarestia
2,NA,SB_05_2024_32,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Phycodrys rubens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2,Understory biomass (not epiphytes),Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phycodrys
2,NA,SB_05_2024_33,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,1,16,0.25,Ptilota gunneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,Understory biomass (not epiphytes),Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ptilota
3,NA,SB_05_2024_34,SB_05_2024_34,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Laminaria digitata,NA,NA,NA,13,43,22.5,NA,NA,28.5,9,NA,0.5,NA,NA,6.9,8.8,3,NA,NA,60.6,11.9,NA,72.5,10.8,90.2,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laminaria
3,NA,SB_05_2024_35,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.5,8,NA,NA,NA,2.4,NA,NA,0.15,NA,NA,0.1,0.3,1,NA,NA,0.2,NA,NA,0.2,0.1,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_36,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.5,7.5,NA,NA,NA,2.1,NA,NA,0.15,NA,NA,0.1,0.4,1,NA,NA,0.2,NA,NA,0.2,0.1,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_37,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.4,7.5,NA,NA,NA,1.4,NA,NA,0.15,NA,NA,0.1,0.4,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_38,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.7,9.3,NA,NA,NA,2.1,NA,NA,0.1,NA,NA,0.1,0.3,1,NA,NA,0.2,NA,NA,0.2,0.1,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_39,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.4,12.2,NA,NA,NA,2,NA,NA,0.2,NA,NA,0.1,0.4,1,NA,NA,0.4,NA,NA,0.4,0.1,0.6,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_40,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.3,4.6,NA,NA,NA,1.2,NA,NA,0.1,NA,NA,0.1,0.2,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_41,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.5,10.5,NA,NA,NA,2.4,NA,NA,0.1,NA,NA,0.1,0.5,1,NA,NA,0.4,NA,NA,0.4,0.1,0.6,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_42,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.4,3.5,NA,NA,NA,0.9,NA,NA,0.1,NA,NA,0.1,0.3,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_43,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.6,10.5,NA,NA,NA,1.8,NA,NA,0.2,NA,NA,0.1,0.2,1,NA,NA,0.3,NA,NA,0.3,0.1,0.5,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_44,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.3,7,NA,NA,NA,1.5,NA,NA,0.1,NA,NA,0.1,0.1,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_45,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.6,6,NA,NA,NA,1.4,NA,NA,0.1,NA,NA,0.1,0.3,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_46,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.4,5.5,NA,NA,NA,1.3,NA,NA,0.1,NA,NA,0.1,0.1,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_47,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.3,7.6,NA,NA,NA,2.4,NA,NA,0.1,NA,NA,0.1,0.5,1,NA,NA,0.3,NA,NA,0.3,0.1,0.5,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_48,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.2,2.6,NA,NA,NA,1,NA,NA,0.1,NA,NA,0.1,0.2,1,NA,NA,0.1,NA,NA,0.1,0.1,0.3,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_49,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.5,10.5,NA,NA,NA,2.1,NA,NA,0.1,NA,NA,0.1,0.5,1,NA,NA,0.3,NA,NA,0.3,0.1,0.5,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_50,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,0.5,8.1,NA,NA,NA,1.7,NA,NA,0.1,NA,NA,0.1,0.3,1,NA,NA,0.2,NA,NA,0.2,0.1,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
3,NA,SB_05_2024_51,NA,5/05/2024,SVAL2,10,9.3,78.95875,12.04262,2,17,0.25,Saccharina latissima,NA,NA,NA,NA,8,NA,NA,NA,2,NA,NA,0.1,NA,NA,0.1,NA,1,NA,NA,0.2,NA,NA,0.2,0.1,0.4,NA,Not reproductive,Svalbard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saccharina
